cod;nome;período;homicidios-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-homens;homicidios-de-jovens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-mulheres-negras;homicidios-nao-negros;homicidios-mulheres;homicidios-de-jovens-homens;homicidio-de-jovens-por-armas-de-fogo;homicidios-homens-negros;homicidios;homicidios-de-jovens-mulheres;homicidios-homens-nao-negros;homicidios-negros;homicidios-mulheres-nao-negras
28;SE;1979;22;;;;;;;;21;;;;4;;;
27;AL;1979;131;;;;;;;;104;;;;6;;;
26;PE;1979;297;;;;;;;;346;;;;41;;;
25;PB;1979;71;;;;;;;;74;;;;12;;;
24;RN;1979;46;;;;;;;;40;;;;6;;;
23;CE;1979;85;;;;;;;;128;;;;17;;;
22;PI;1979;7;;;;;;;;12;;;;4;;;
52;GO;1979;163;;;;;;;;125;;;;18;;;
21;MA;1979;34;;;;;;;;30;;;;5;;;
17;TO;1979;0;;;;;;;;0;;;;0;;;
16;AP;1979;5;;;;;;;;7;;;;1;;;
15;PA;1979;117;;;;;;;;127;;;;19;;;
14;RR;1979;2;;;;;;;;2;;;;1;;;
13;AM;1979;55;;;;;;;;80;;;;4;;;
12;AC;1979;13;;;;;;;;14;;;;0;;;
11;RO;1979;50;;;;;;;;35;;;;3;;;
53;DF;1979;28;;;;;;;;49;;;;4;;;
51;MT;1979;2;;;;;;;;4;;;;0;;;
50;MS;1979;62;;;;;;;;52;;;;6;;;
43;RS;1979;193;;;;;;;;226;;;;20;;;
42;SC;1979;79;;;;;;;;70;;;;5;;;
41;PR;1979;379;;;;;;;;276;;;;38;;;
35;SP;1979;570;;;;;;;;1061;;;;135;;;
33;RJ;1979;1726;;;;;;;;1203;;;;69;;;
32;ES;1979;82;;;;;;;;93;;;;11;;;
31;MG;1979;435;;;;;;;;404;;;;73;;;
29;BA;1979;116;;;;;;;;114;;;;17;;;
11;RO;1980;67;;;;;;;;39;;;;4;;;
12;AC;1980;12;;;;;;;;14;;;;2;;;
13;AM;1980;46;;;;;;;;64;;;;9;;;
14;RR;1980;0;;;;;;;;3;;;;2;;;
15;PA;1980;169;;;;;;;;143;;;;19;;;
16;AP;1980;2;;;;;;;;6;;;;0;;;
17;TO;1980;0;;;;;;;;0;;;;0;;;
21;MA;1980;29;;;;;;;;34;;;;7;;;
22;PI;1980;6;;;;;;;;25;;;;3;;;
23;CE;1980;159;;;;;;;;181;;;;11;;;
32;ES;1980;122;;;;;;;;113;;;;16;;;
33;RJ;1980;2093;;;;;;;;1531;;;;104;;;
35;SP;1980;699;;;;;;;;1678;;;;171;;;
41;PR;1980;367;;;;;;;;291;;;;35;;;
42;SC;1980;119;;;;;;;;103;;;;11;;;
43;RS;1980;227;;;;;;;;268;;;;23;;;
50;MS;1980;118;;;;;;;;77;;;;10;;;
51;MT;1980;22;;;;;;;;12;;;;1;;;
52;GO;1980;226;;;;;;;;155;;;;28;;;
53;DF;1980;21;;;;;;;;67;;;;7;;;
24;RN;1980;77;;;;;;;;75;;;;5;;;
25;PB;1980;127;;;;;;;;106;;;;13;;;
26;PE;1980;613;;;;;;;;446;;;;55;;;
27;AL;1980;148;;;;;;;;112;;;;19;;;
28;SE;1980;30;;;;;;;;26;;;;6;;;
29;BA;1980;139;;;;;;;;112;;;;18;;;
31;MG;1980;466;;;;;;;;444;;;;51;;;
23;CE;1981;187;;;;;;;;194;;;;23;;;
53;DF;1981;81;;;;;;;;71;;;;11;;;
52;GO;1981;268;;;;;;;;211;;;;28;;;
51;MT;1981;38;;;;;;;;33;;;;7;;;
50;MS;1981;147;;;;;;;;81;;;;14;;;
43;RS;1981;237;;;;;;;;298;;;;29;;;
42;SC;1981;105;;;;;;;;103;;;;10;;;
41;PR;1981;451;;;;;;;;323;;;;37;;;
35;SP;1981;958;;;;;;;;2166;;;;176;;;
33;RJ;1981;1774;;;;;;;;1247;;;;79;;;
32;ES;1981;130;;;;;;;;149;;;;28;;;
31;MG;1981;374;;;;;;;;410;;;;72;;;
29;BA;1981;124;;;;;;;;113;;;;15;;;
28;SE;1981;36;;;;;;;;32;;;;3;;;
27;AL;1981;190;;;;;;;;121;;;;27;;;
26;PE;1981;758;;;;;;;;567;;;;69;;;
25;PB;1981;133;;;;;;;;114;;;;13;;;
24;RN;1981;80;;;;;;;;67;;;;10;;;
22;PI;1981;23;;;;;;;;25;;;;3;;;
21;MA;1981;54;;;;;;;;58;;;;6;;;
17;TO;1981;0;;;;;;;;0;;;;0;;;
16;AP;1981;4;;;;;;;;9;;;;2;;;
15;PA;1981;171;;;;;;;;144;;;;25;;;
14;RR;1981;2;;;;;;;;8;;;;3;;;
13;AM;1981;52;;;;;;;;73;;;;7;;;
12;AC;1981;8;;;;;;;;13;;;;1;;;
11;RO;1981;67;;;;;;;;39;;;;7;;;
11;RO;1982;79;;;;;;;;26;;;;11;;;
12;AC;1982;18;;;;;;;;16;;;;2;;;
13;AM;1982;58;;;;;;;;68;;;;8;;;
14;RR;1982;1;;;;;;;;10;;;;2;;;
15;PA;1982;176;;;;;;;;150;;;;16;;;
16;AP;1982;8;;;;;;;;9;;;;1;;;
17;TO;1982;0;;;;;;;;0;;;;0;;;
21;MA;1982;62;;;;;;;;60;;;;2;;;
52;GO;1982;226;;;;;;;;211;;;;29;;;
51;MT;1982;24;;;;;;;;17;;;;2;;;
50;MS;1982;154;;;;;;;;93;;;;12;;;
43;RS;1982;256;;;;;;;;305;;;;30;;;
42;SC;1982;86;;;;;;;;83;;;;14;;;
41;PR;1982;488;;;;;;;;404;;;;50;;;
35;SP;1982;926;;;;;;;;2076;;;;177;;;
33;RJ;1982;1575;;;;;;;;1088;;;;70;;;
32;ES;1982;114;;;;;;;;138;;;;12;;;
31;MG;1982;346;;;;;;;;395;;;;61;;;
29;BA;1982;211;;;;;;;;164;;;;36;;;
28;SE;1982;34;;;;;;;;35;;;;6;;;
27;AL;1982;185;;;;;;;;152;;;;15;;;
26;PE;1982;788;;;;;;;;601;;;;49;;;
25;PB;1982;112;;;;;;;;100;;;;16;;;
24;RN;1982;108;;;;;;;;85;;;;5;;;
23;CE;1982;149;;;;;;;;200;;;;14;;;
22;PI;1982;28;;;;;;;;32;;;;4;;;
53;DF;1982;101;;;;;;;;98;;;;6;;;
13;AM;1983;60;;;;;;;;84;;;;6;;;
53;DF;1983;93;;;;;;;;90;;;;12;;;
52;GO;1983;239;;;;;;;;216;;;;34;;;
51;MT;1983;51;;;;;;;;41;;;;4;;;
50;MS;1983;137;;;;;;;;101;;;;11;;;
43;RS;1983;253;;;;;;;;293;;;;21;;;
42;SC;1983;121;;;;;;;;102;;;;23;;;
35;SP;1983;1317;;;;;;;;2916;;;;254;;;
41;PR;1983;550;;;;;;;;398;;;;36;;;
32;ES;1983;118;;;;;;;;135;;;;20;;;
29;BA;1983;154;;;;;;;;126;;;;20;;;
28;SE;1983;42;;;;;;;;34;;;;5;;;
27;AL;1983;267;;;;;;;;203;;;;24;;;
26;PE;1983;965;;;;;;;;699;;;;90;;;
25;PB;1983;120;;;;;;;;137;;;;16;;;
33;RJ;1983;859;;;;;;;;874;;;;70;;;
24;RN;1983;88;;;;;;;;62;;;;7;;;
23;CE;1983;217;;;;;;;;263;;;;22;;;
22;PI;1983;37;;;;;;;;38;;;;0;;;
21;MA;1983;56;;;;;;;;53;;;;5;;;
17;TO;1983;0;;;;;;;;0;;;;0;;;
16;AP;1983;12;;;;;;;;19;;;;4;;;
15;PA;1983;240;;;;;;;;211;;;;34;;;
14;RR;1983;2;;;;;;;;8;;;;1;;;
31;MG;1983;339;;;;;;;;319;;;;61;;;
12;AC;1983;12;;;;;;;;16;;;;3;;;
11;RO;1983;64;;;;;;;;42;;;;7;;;
53;DF;1984;74;;;;;;;;77;;;;9;;;
52;GO;1984;241;;;;;;;;176;;;;28;;;
51;MT;1984;68;;;;;;;;57;;;;6;;;
50;MS;1984;177;;;;;;;;126;;;;20;;;
43;RS;1984;258;;;;;;;;305;;;;37;;;
42;SC;1984;120;;;;;;;;102;;;;12;;;
41;PR;1984;473;;;;;;;;429;;;;48;;;
35;SP;1984;1864;;;;;;;;3789;;;;274;;;
33;RJ;1984;1315;;;;;;;;1145;;;;85;;;
32;ES;1984;151;;;;;;;;143;;;;21;;;
31;MG;1984;437;;;;;;;;379;;;;69;;;
29;BA;1984;248;;;;;;;;186;;;;28;;;
28;SE;1984;23;;;;;;;;16;;;;2;;;
27;AL;1984;304;;;;;;;;185;;;;18;;;
26;PE;1984;1154;;;;;;;;801;;;;66;;;
25;PB;1984;147;;;;;;;;135;;;;10;;;
24;RN;1984;67;;;;;;;;62;;;;3;;;
23;CE;1984;196;;;;;;;;274;;;;16;;;
22;PI;1984;36;;;;;;;;34;;;;4;;;
21;MA;1984;84;;;;;;;;62;;;;6;;;
11;RO;1984;106;;;;;;;;80;;;;5;;;
17;TO;1984;0;;;;;;;;0;;;;0;;;
16;AP;1984;12;;;;;;;;14;;;;3;;;
15;PA;1984;296;;;;;;;;212;;;;24;;;
14;RR;1984;0;;;;;;;;9;;;;1;;;
13;AM;1984;83;;;;;;;;110;;;;10;;;
12;AC;1984;13;;;;;;;;13;;;;3;;;
16;AP;1985;15;;;;;;;;16;;;;2;;;
11;RO;1985;174;;;;;;;;104;;;;13;;;
12;AC;1985;23;;;;;;;;27;;;;2;;;
13;AM;1985;85;;;;;;;;84;;;;9;;;
14;RR;1985;3;;;;;;;;3;;;;0;;;
15;PA;1985;265;;;;;;;;200;;;;16;;;
17;TO;1985;0;;;;;;;;0;;;;0;;;
21;MA;1985;74;;;;;;;;45;;;;7;;;
22;PI;1985;23;;;;;;;;22;;;;4;;;
23;CE;1985;163;;;;;;;;221;;;;20;;;
24;RN;1985;68;;;;;;;;62;;;;5;;;
25;PB;1985;140;;;;;;;;160;;;;21;;;
26;PE;1985;1310;;;;;;;;930;;;;77;;;
27;AL;1985;281;;;;;;;;173;;;;34;;;
28;SE;1985;33;;;;;;;;22;;;;5;;;
29;BA;1985;254;;;;;;;;216;;;;27;;;
31;MG;1985;382;;;;;;;;384;;;;66;;;
32;ES;1985;209;;;;;;;;168;;;;18;;;
33;RJ;1985;1460;;;;;;;;1277;;;;78;;;
35;SP;1985;2010;;;;;;;;3883;;;;279;;;
41;PR;1985;440;;;;;;;;338;;;;46;;;
42;SC;1985;116;;;;;;;;103;;;;16;;;
43;RS;1985;219;;;;;;;;283;;;;37;;;
50;MS;1985;123;;;;;;;;92;;;;9;;;
51;MT;1985;118;;;;;;;;81;;;;17;;;
52;GO;1985;211;;;;;;;;187;;;;33;;;
53;DF;1985;150;;;;;;;;131;;;;12;;;
51;MT;1986;172;;;;;;;;110;;;;15;;;
50;MS;1986;136;;;;;;;;111;;;;16;;;
43;RS;1986;309;;;;;;;;321;;;;31;;;
11;RO;1986;216;;;;;;;;133;;;;11;;;
53;DF;1986;148;;;;;;;;121;;;;16;;;
52;GO;1986;285;;;;;;;;203;;;;32;;;
12;AC;1986;25;;;;;;;;24;;;;2;;;
42;SC;1986;105;;;;;;;;100;;;;5;;;
41;PR;1986;396;;;;;;;;377;;;;36;;;
35;SP;1986;2126;;;;;;;;4070;;;;277;;;
33;RJ;1986;1399;;;;;;;;1243;;;;90;;;
32;ES;1986;205;;;;;;;;192;;;;22;;;
31;MG;1986;379;;;;;;;;378;;;;54;;;
29;BA;1986;284;;;;;;;;206;;;;28;;;
28;SE;1986;33;;;;;;;;22;;;;5;;;
27;AL;1986;282;;;;;;;;197;;;;19;;;
26;PE;1986;1400;;;;;;;;966;;;;64;;;
25;PB;1986;195;;;;;;;;179;;;;29;;;
24;RN;1986;49;;;;;;;;39;;;;1;;;
23;CE;1986;143;;;;;;;;230;;;;27;;;
22;PI;1986;26;;;;;;;;31;;;;2;;;
21;MA;1986;104;;;;;;;;107;;;;8;;;
17;TO;1986;0;;;;;;;;0;;;;0;;;
16;AP;1986;7;;;;;;;;15;;;;2;;;
15;PA;1986;301;;;;;;;;226;;;;28;;;
14;RR;1986;3;;;;;;;;8;;;;1;;;
13;AM;1986;75;;;;;;;;89;;;;5;;;
23;CE;1987;141;;;;;;;;186;;;;14;;;
22;PI;1987;29;;;;;;;;33;;;;1;;;
53;DF;1987;211;;;;;;;;155;;;;19;;;
52;GO;1987;304;;;;;;;;236;;;;42;;;
51;MT;1987;185;;;;;;;;124;;;;14;;;
50;MS;1987;173;;;;;;;;97;;;;12;;;
43;RS;1987;335;;;;;;;;347;;;;34;;;
42;SC;1987;151;;;;;;;;117;;;;15;;;
41;PR;1987;450;;;;;;;;354;;;;46;;;
35;SP;1987;2379;;;;;;;;4357;;;;287;;;
21;MA;1987;116;;;;;;;;110;;;;5;;;
17;TO;1987;0;;;;;;;;0;;;;0;;;
16;AP;1987;9;;;;;;;;9;;;;4;;;
15;PA;1987;310;;;;;;;;196;;;;22;;;
14;RR;1987;0;;;;;;;;3;;;;2;;;
13;AM;1987;101;;;;;;;;103;;;;9;;;
12;AC;1987;51;;;;;;;;42;;;;9;;;
11;RO;1987;218;;;;;;;;148;;;;14;;;
33;RJ;1987;2680;;;;;;;;1977;;;;96;;;
32;ES;1987;232;;;;;;;;206;;;;21;;;
31;MG;1987;340;;;;;;;;378;;;;56;;;
29;BA;1987;294;;;;;;;;258;;;;21;;;
28;SE;1987;22;;;;;;;;23;;;;1;;;
27;AL;1987;274;;;;;;;;213;;;;29;;;
26;PE;1987;1482;;;;;;;;1045;;;;65;;;
25;PB;1987;149;;;;;;;;149;;;;21;;;
24;RN;1987;81;;;;;;;;55;;;;5;;;
25;PB;1988;156;;;;;;;;155;;;;25;;;
53;DF;1988;161;;;;;;;;160;;;;11;;;
52;GO;1988;400;;;;;;;;285;;;;41;;;
51;MT;1988;188;;;;;;;;138;;;;9;;;
50;MS;1988;172;;;;;;;;113;;;;12;;;
43;RS;1988;510;;;;;;;;501;;;;45;;;
42;SC;1988;155;;;;;;;;115;;;;17;;;
41;PR;1988;455;;;;;;;;410;;;;51;;;
35;SP;1988;2438;;;;;;;;4048;;;;277;;;
33;RJ;1988;2028;;;;;;;;1528;;;;91;;;
24;RN;1988;91;;;;;;;;82;;;;8;;;
11;RO;1988;210;;;;;;;;144;;;;21;;;
12;AC;1988;43;;;;;;;;31;;;;3;;;
13;AM;1988;106;;;;;;;;110;;;;15;;;
14;RR;1988;2;;;;;;;;21;;;;5;;;
15;PA;1988;337;;;;;;;;237;;;;25;;;
16;AP;1988;5;;;;;;;;12;;;;0;;;
17;TO;1988;0;;;;;;;;0;;;;0;;;
21;MA;1988;141;;;;;;;;122;;;;7;;;
22;PI;1988;38;;;;;;;;49;;;;4;;;
23;CE;1988;175;;;;;;;;228;;;;16;;;
32;ES;1988;265;;;;;;;;266;;;;32;;;
31;MG;1988;347;;;;;;;;388;;;;60;;;
29;BA;1988;429;;;;;;;;390;;;;35;;;
28;SE;1988;31;;;;;;;;25;;;;2;;;
27;AL;1988;342;;;;;;;;281;;;;24;;;
26;PE;1988;1510;;;;;;;;1046;;;;62;;;
33;RJ;1989;2942;2772.0;3980.0;2310.0;167.0;;;304.0;2170;1722.0;;4290.0;140;;;
32;ES;1989;395;361.0;763.0;349.0;29.0;;;75.0;320;180.0;;845.0;29;;;
23;CE;1989;216;203.0;560.0;299.0;13.0;;;47.0;286;121.0;;607.0;13;;;
24;RN;1989;124;121.0;222.0;113.0;3.0;;;14.0;108;69.0;;236.0;5;;;
25;PB;1989;222;201.0;409.0;193.0;21.0;;;52.0;169;102.0;;461.0;24;;;
26;PE;1989;1698;1607.0;2379.0;1326.0;91.0;;;173.0;1235;943.0;;2553.0;90;;;
27;AL;1989;331;310.0;739.0;339.0;21.0;;;66.0;310;143.0;;805.0;29;;;
28;SE;1989;71;66.0;124.0;64.0;5.0;;;15.0;59;3946.0;;139.0;5;;;
29;BA;1989;591;562.0;1000.0;574.0;23.0;;;80.0;527;327.0;;1086.0;46;;;
31;MG;1989;432;384.0;1047.0;546.0;47.0;;;168.0;479;223.0;;1216.0;67;;;
11;RO;1989;285;260.0;443.0;188.0;25.0;;;47.0;161;114.0;;490.0;27;;;
22;PI;1989;60;53.0;125.0;68.0;7.0;;;17.0;60;30.0;;142.0;8;;;
21;MA;1989;176;166.0;382.0;174.0;10.0;;;28.0;160;82.0;;411.0;13;;;
17;TO;1989;36;30.0;49.0;22.0;6.0;;;14.0;15;13.0;;63.0;7;;;
16;AP;1989;20;19.0;36.0;29.0;1.0;;;3.0;27;13.0;;39.0;2;;;
15;PA;1989;356;328.0;615.0;303.0;28.0;;;51.0;276;165.0;;666.0;27;;;
14;RR;1989;1;1.0;100.0;61.0;0.0;;;12.0;53;1.0;;113.0;8;;;
13;AM;1989;146;136.0;289.0;161.0;9.0;;;31.0;141;82.0;;321.0;20;;;
12;AC;1989;48;45.0;89.0;56.0;3.0;;;6.0;52;28.0;;95.0;4;;;
53;DF;1989;182;177.0;308.0;185.0;5.0;;;23.0;177;116.0;;331.0;8;;;
52;GO;1989;471;426.0;717.0;344.0;44.0;;;91.0;302;223.0;;810.0;41;;;
51;MT;1989;207;199.0;440.0;180.0;8.0;;;31.0;165;82.0;;471.0;15;;;
50;MS;1989;197;175.0;330.0;168.0;20.0;;;39.0;147;95.0;;371.0;21;;;
43;RS;1989;796;755.0;1419.0;806.0;41.0;;;142.0;744;447.0;;1561.0;62;;;
42;SC;1989;157;142.0;315.0;168.0;15.0;;;39.0;153;82.0;;354.0;15;;;
41;PR;1989;498;457.0;1004.0;501.0;39.0;;;105.0;455;255.0;;1112.0;45;;;
35;SP;1989;2822;2668.0;8508.0;5522.0;154.0;;;671.0;5186;1821.0;;9179.0;336;;;
35;SP;1990;2969;2784.0;8824.0;5640.0;185.0;;;679.0;5300;1861.0;;9503.0;340;;;
32;ES;1990;419;382.0;791.0;384.0;37.0;;;88.0;344;215.0;;881.0;40;;;
31;MG;1990;494;444.0;1029.0;520.0;50.0;;;148.0;457;240.0;;1178.0;63;;;
29;BA;1990;523;486.0;782.0;437.0;31.0;;;77.0;406;289.0;;867.0;30;;;
28;SE;1990;75;69.0;138.0;88.0;6.0;;;13.0;80;5488.0;;151.0;8;;;
27;AL;1990;273;261.0;663.0;284.0;12.0;;;55.0;263;116.0;;719.0;20;;;
26;PE;1990;1728;1616.0;2522.0;1377.0;111.0;;;219.0;1275;955.0;;2742.0;101;;;
25;PB;1990;224;206.0;399.0;185.0;18.0;;;41.0;172;95.0;;440.0;13;;;
24;RN;1990;117;108.0;180.0;92.0;9.0;;;20.0;85;58.0;;200.0;7;;;
23;CE;1990;242;219.0;510.0;253.0;23.0;;;45.0;230;126.0;;555.0;23;;;
22;PI;1990;33;32.0;104.0;52.0;1.0;;;5.0;50;16.0;;109.0;2;;;
21;MA;1990;194;180.0;410.0;199.0;14.0;;;32.0;182;86.0;;442.0;17;;;
17;TO;1990;25;21.0;47.0;22.0;4.0;;;7.0;19;10.0;;54.0;3;;;
16;AP;1990;17;14.0;40.0;22.0;2.0;;;5.0;18;11.0;;46.0;3;;;
15;PA;1990;459;424.0;669.0;376.0;35.0;;;78.0;337;242.0;;748.0;39;;;
14;RR;1990;9;8.0;107.0;63.0;1.0;;;20.0;52;3.0;;127.0;11;;;
13;AM;1990;201;184.0;332.0;207.0;14.0;;;31.0;193;119.0;;367.0;14;;;
12;AC;1990;33;29.0;58.0;33.0;4.0;;;6.0;29;18.0;;64.0;4;;;
11;RO;1990;293;278.0;517.0;223.0;14.0;;;37.0;202;130.0;;555.0;21;;;
53;DF;1990;278;259.0;423.0;251.0;19.0;;;40.0;234;159.0;;463.0;17;;;
52;GO;1990;380;349.0;620.0;309.0;29.0;;;58.0;277;180.0;;681.0;32;;;
51;MT;1990;180;164.0;376.0;155.0;16.0;;;39.0;139;66.0;;415.0;16;;;
50;MS;1990;162;146.0;306.0;156.0;16.0;;;40.0;137;72.0;;348.0;19;;;
43;RS;1990;998;917.0;1547.0;886.0;81.0;;;157.0;826;551.0;;1704.0;60;;;
42;SC;1990;167;150.0;341.0;158.0;17.0;;;46.0;140;77.0;;388.0;18;;;
41;PR;1990;538;488.0;1041.0;537.0;50.0;;;125.0;483;279.0;;1167.0;54;;;
33;RJ;1990;5557;5236.0;6614.0;3833.0;312.0;;;477.0;3616;3172.0;;7101.0;215;;;
14;RR;1991;18;15.0;70.0;33.0;3.0;;;9.0;28;9.0;;79.0;5;;;
11;RO;1991;265;247.0;455.0;196.0;17.0;;;33.0;184;108.0;;491.0;11;;;
12;AC;1991;63;56.0;97.0;59.0;7.0;;;9.0;53;38.0;;106.0;6;;;
13;AM;1991;233;222.0;384.0;241.0;11.0;;;18.0;231;141.0;;403.0;10;;;
15;PA;1991;491;448.0;737.0;380.0;42.0;;;72.0;344;232.0;;810.0;36;;;
16;AP;1991;19;17.0;49.0;30.0;2.0;;;5.0;28;9.0;;54.0;2;;;
17;TO;1991;46;43.0;83.0;33.0;3.0;;;9.0;30;17.0;;92.0;3;;;
21;MA;1991;203;182.0;416.0;227.0;21.0;;;54.0;200;118.0;;470.0;27;;;
22;PI;1991;31;28.0;92.0;43.0;3.0;;;11.0;37;15.0;;103.0;6;;;
23;CE;1991;242;227.0;554.0;303.0;15.0;;;53.0;281;139.0;;607.0;22;;;
24;RN;1991;109;103.0;202.0;119.0;6.0;;;17.0;110;65.0;;219.0;9;;;
25;PB;1991;180;158.0;361.0;183.0;22.0;;;40.0;170;79.0;;401.0;13;;;
26;PE;1991;2008;1878.0;2706.0;1426.0;125.0;;;232.0;1325;1046.0;;2944.0;100;;;
27;AL;1991;257;234.0;590.0;239.0;18.0;;;67.0;219;99.0;;665.0;19;;;
28;SE;1991;179;168.0;287.0;131.0;8.0;;;21.0;118;4677.0;;317.0;13;;;
29;BA;1991;266;245.0;528.0;266.0;20.0;;;64.0;236;128.0;;596.0;29;;;
31;MG;1991;516;472.0;1071.0;541.0;43.0;;;159.0;480;269.0;;1232.0;60;;;
32;ES;1991;473;440.0;872.0;413.0;32.0;;;95.0;377;229.0;;968.0;36;;;
33;RJ;1991;3979;3736.0;4672.0;2640.0;235.0;;;370.0;2484;2207.0;;5055.0;154;;;
35;SP;1991;3138;2912.0;8896.0;5601.0;226.0;;;789.0;5227;1972.0;;9685.0;374;;;
41;PR;1991;562;510.0;1073.0;519.0;52.0;;;149.0;459;266.0;;1225.0;60;;;
42;SC;1991;165;148.0;317.0;147.0;17.0;;;38.0;131;82.0;;355.0;16;;;
43;RS;1991;1117;1031.0;1538.0;823.0;86.0;;;156.0;755;573.0;;1694.0;68;;;
50;MS;1991;218;191.0;338.0;167.0;24.0;;;47.0;142;106.0;;388.0;24;;;
51;MT;1991;227;201.0;403.0;172.0;26.0;;;49.0;146;98.0;;452.0;26;;;
52;GO;1991;440;396.0;741.0;397.0;44.0;;;110.0;346;222.0;;852.0;51;;;
53;DF;1991;314;291.0;437.0;293.0;23.0;;;52.0;272;209.0;;489.0;21;;;
28;SE;1992;312;295.0;420.0;212.0;7.0;;;28.0;199;4164.0;;461.0;9;;;
29;BA;1992;428;401.0;758.0;405.0;26.0;;;79.0;369;237.0;;840.0;36;;;
31;MG;1992;488;435.0;972.0;481.0;51.0;;;154.0;418;231.0;;1131.0;62;;;
32;ES;1992;381;349.0;751.0;361.0;31.0;;;85.0;322;196.0;;839.0;39;;;
33;RJ;1992;3580;3358.0;4212.0;2257.0;219.0;;;319.0;2132;1896.0;;4536.0;125;;;
35;SP;1992;2955;2794.0;8472.0;5285.0;161.0;;;644.0;5002;1841.0;;9116.0;283;;;
11;RO;1992;229;215.0;360.0;140.0;14.0;;;35.0;121;89.0;;395.0;19;;;
12;AC;1992;53;46.0;94.0;61.0;7.0;;;13.0;51;34.0;;107.0;10;;;
13;AM;1992;168;157.0;321.0;178.0;7.0;;;26.0;170;81.0;;351.0;8;;;
14;RR;1992;52;47.0;86.0;47.0;5.0;;;9.0;43;23.0;;95.0;4;;;
15;PA;1992;468;436.0;701.0;353.0;31.0;;;56.0;325;221.0;;759.0;27;;;
16;AP;1992;38;35.0;69.0;43.0;3.0;;;4.0;41;24.0;;73.0;2;;;
17;TO;1992;40;37.0;60.0;23.0;3.0;;;5.0;21;14.0;;67.0;2;;;
21;MA;1992;209;192.0;395.0;162.0;15.0;;;30.0;149;74.0;;427.0;13;;;
22;PI;1992;30;28.0;82.0;41.0;2.0;;;10.0;37;15.0;;92.0;4;;;
41;PR;1992;554;507.0;971.0;486.0;47.0;;;116.0;440;269.0;;1092.0;42;;;
42;SC;1992;151;141.0;311.0;157.0;10.0;;;50.0;145;74.0;;361.0;12;;;
43;RS;1992;1035;934.0;1409.0;740.0;101.0;;;161.0;678;516.0;;1570.0;62;;;
50;MS;1992;235;206.0;365.0;181.0;29.0;;;58.0;153;107.0;;423.0;28;;;
51;MT;1992;158;144.0;316.0;144.0;11.0;;;35.0;126;70.0;;355.0;17;;;
52;GO;1992;417;361.0;703.0;340.0;56.0;;;125.0;288;189.0;;828.0;52;;;
53;DF;1992;271;255.0;384.0;245.0;16.0;;;40.0;231;172.0;;424.0;14;;;
23;CE;1992;202;187.0;493.0;265.0;14.0;;;42.0;244;102.0;;537.0;20;;;
24;RN;1992;110;101.0;184.0;92.0;9.0;;;15.0;85;57.0;;199.0;7;;;
26;PE;1992;1719;1621.0;2352.0;1093.0;93.0;;;171.0;1013;794.0;;2531.0;75;;;
25;PB;1992;218;194.0;319.0;165.0;24.0;;;36.0;150;101.0;;355.0;15;;;
27;AL;1992;284;267.0;538.0;243.0;17.0;;;53.0;219;131.0;;591.0;24;;;
53;DF;1993;362;335.0;503.0;319.0;27.0;;;49.0;296;234.0;;553.0;23;;;
11;RO;1993;280;256.0;439.0;208.0;24.0;;;55.0;183;125.0;;498.0;23;;;
12;AC;1993;61;55.0;101.0;66.0;5.0;;;12.0;62;36.0;;116.0;3;;;
13;AM;1993;172;161.0;316.0;186.0;10.0;;;33.0;169;96.0;;350.0;17;;;
14;RR;1993;43;39.0;63.0;26.0;3.0;;;4.0;22;16.0;;69.0;3;;;
15;PA;1993;365;345.0;577.0;290.0;20.0;;;46.0;269;169.0;;623.0;21;;;
16;AP;1993;39;37.0;61.0;36.0;2.0;;;5.0;34;26.0;;66.0;2;;;
17;TO;1993;27;24.0;81.0;37.0;3.0;;;12.0;30;12.0;;93.0;7;;;
21;MA;1993;173;161.0;359.0;165.0;10.0;;;33.0;150;68.0;;394.0;15;;;
22;PI;1993;30;26.0;104.0;55.0;4.0;;;13.0;47;19.0;;117.0;8;;;
23;CE;1993;270;249.0;640.0;360.0;21.0;;;61.0;330;164.0;;702.0;30;;;
24;RN;1993;151;137.0;222.0;128.0;14.0;;;21.0;119;81.0;;243.0;9;;;
25;PB;1993;205;192.0;337.0;168.0;13.0;;;26.0;157;94.0;;365.0;10;;;
26;PE;1993;1893;1774.0;2543.0;1416.0;118.0;;;218.0;1318;1090.0;;2763.0;96;;;
27;AL;1993;351;322.0;569.0;238.0;29.0;;;50.0;223;147.0;;619.0;15;;;
28;SE;1993;165;155.0;286.0;159.0;10.0;;;25.0;151;5077.0;;312.0;8;;;
29;BA;1993;1013;945.0;1364.0;825.0;54.0;;;120.0;775;618.0;;1503.0;46;;;
31;MG;1993;535;466.0;1028.0;533.0;68.0;;;181.0;472;281.0;;1211.0;61;;;
32;ES;1993;555;522.0;995.0;516.0;33.0;;;101.0;466;295.0;;1098.0;50;;;
33;RJ;1993;4326;4062.0;4972.0;2557.0;256.0;;;381.0;2431;2197.0;;5367.0;124;;;
35;SP;1993;3683;3451.0;8498.0;5183.0;232.0;;;726.0;4858;2304.0;;9224.0;325;;;
